age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
51,management,divorced,tertiary,no,318,yes,no,cellular,6,102,2,355,2,failure,no
33,blue-collar,married,primary,no,170,yes,yes,telephone,14,113,3,367,4,other,no
39,self-employed,married,tertiary,no,2630,no,no,unknown,12,651,5,-1,0,unknown,yes
50,blue-collar,divorced,secondary,no,-54,no,no,cellular,24,513,3,-1,0,unknown,no
47,management,divorced,tertiary,no,2105,no,yes,cellular,21,363,1,-1,0,unknown,no
34,management,single,tertiary,no,26575,no,no,cellular,18,93,1,-1,0,unknown,no
41,entrepreneur,married,primary,no,236,yes,no,unknown,5,151,1,-1,0,unknown,no
31,blue-collar,married,primary,no,48,yes,no,cellular,28,209,4,-1,0,unknown,no
36,technician,single,secondary,no,23,yes,no,cellular,18,69,2,333,2,failure,no
25,admin.,single,secondary,no,483,no,yes,cellular,3,189,1,-1,0,unknown,yes
39,blue-collar,married,primary,no,2169,no,no,unknown,17,170,2,-1,0,unknown,no
32,blue-collar,single,secondary,no,541,yes,no,cellular,8,202,2,-1,0,unknown,no
43,services,single,secondary,no,550,yes,no,cellular,13,107,2,-1,0,unknown,no
33,blue-collar,married,secondary,no,661,yes,no,cellular,18,968,1,-1,0,unknown,yes
47,blue-collar,married,secondary,no,3237,yes,no,unknown,15,198,3,-1,0,unknown,no
33,admin.,married,secondary,no,2468,yes,yes,cellular,6,84,1,282,4,failure,no
41,self-employed,married,primary,no,-8,yes,no,unknown,27,643,2,-1,0,unknown,no
30,admin.,married,primary,no,40,yes,yes,cellular,7,174,1,-1,0,unknown,no
39,management,married,tertiary,no,2320,no,yes,cellular,20,25,2,-1,0,unknown,no
48,blue-collar,divorced,primary,no,24,yes,no,unknown,14,832,1,-1,0,unknown,yes
55,management,married,tertiary,no,7803,no,no,cellular,15,441,1,-1,0,unknown,yes
43,admin.,divorced,tertiary,no,1440,yes,yes,unknown,30,254,1,-1,0,unknown,no
27,blue-collar,single,secondary,yes,-3,yes,no,unknown,19,265,5,-1,0,unknown,no
39,blue-collar,married,secondary,no,39,yes,no,unknown,18,34,6,-1,0,unknown,no
40,unemployed,married,secondary,no,270,yes,no,cellular,14,255,2,345,1,failure,no
35,admin.,married,secondary,no,786,no,yes,cellular,25,322,1,-1,0,unknown,no
28,management,single,tertiary,no,781,no,no,cellular,9,125,6,-1,0,unknown,no
57,self-employed,married,unknown,no,964,no,no,unknown,11,70,5,-1,0,unknown,no
75,retired,married,primary,no,1765,no,no,telephone,11,282,2,181,2,success,no
47,blue-collar,married,primary,no,-301,yes,no,cellular,5,277,1,-1,0,unknown,no
47,services,married,secondary,no,795,yes,no,unknown,29,42,3,-1,0,unknown,no
35,admin.,single,secondary,no,-413,yes,no,unknown,23,178,1,-1,0,unknown,no
42,admin.,married,secondary,no,281,yes,no,unknown,15,118,1,-1,0,unknown,no
41,management,married,tertiary,yes,-1176,yes,yes,cellular,31,81,1,-1,0,unknown,no
54,blue-collar,married,primary,no,433,yes,no,cellular,20,252,5,-1,0,unknown,no
32,technician,married,secondary,no,268,yes,yes,cellular,22,102,5,-1,0,unknown,no
51,technician,married,tertiary,no,87,no,no,cellular,26,42,7,-1,0,unknown,no
46,technician,married,secondary,no,68,yes,yes,cellular,18,111,2,155,3,failure,no
34,student,single,unknown,no,242,no,no,telephone,4,364,2,244,2,failure,no
37,services,single,secondary,no,-196,yes,no,unknown,7,207,1,-1,0,unknown,no
41,blue-collar,single,unknown,no,961,yes,no,unknown,29,117,1,-1,0,unknown,no
30,technician,single,tertiary,no,53,no,no,cellular,30,155,1,184,1,success,no
57,admin.,divorced,secondary,no,658,no,no,cellular,10,724,1,-1,0,unknown,yes
35,blue-collar,married,secondary,no,698,yes,yes,unknown,30,1343,3,-1,0,unknown,yes
29,entrepreneur,single,tertiary,no,135,yes,no,cellular,12,245,1,356,1,failure,no
44,management,single,tertiary,no,0,no,yes,cellular,14,289,3,-1,0,unknown,no
49,management,divorced,secondary,no,-46,yes,no,unknown,9,1055,10,-1,0,unknown,yes
35,unemployed,single,primary,no,-17,no,no,cellular,28,100,1,-1,0,unknown,no
50,admin.,divorced,primary,no,8583,yes,no,cellular,19,59,1,-1,0,unknown,no
60,retired,married,secondary,no,8121,yes,yes,cellular,18,98,7,-1,0,unknown,no
45,unemployed,married,secondary,no,-407,yes,no,cellular,15,320,3,371,2,failure,no
42,blue-collar,married,secondary,no,2256,yes,no,unknown,16,315,1,-1,0,unknown,no
48,technician,married,primary,no,788,no,no,telephone,9,36,2,-1,0,unknown,no
35,management,married,tertiary,no,94,no,no,cellular,22,239,3,-1,0,unknown,no
32,blue-collar,married,primary,no,209,yes,yes,unknown,20,8,31,-1,0,unknown,no
43,management,married,tertiary,no,13450,yes,no,cellular,4,128,1,-1,0,unknown,no
39,technician,divorced,tertiary,no,113,yes,yes,cellular,2,1012,2,-1,0,unknown,no
55,blue-collar,married,primary,no,2896,no,no,unknown,17,138,3,-1,0,unknown,no
25,admin.,single,secondary,no,681,yes,no,unknown,26,105,3,-1,0,unknown,no
29,technician,single,secondary,no,103,no,no,unknown,19,314,1,-1,0,unknown,no
26,admin.,single,tertiary,no,2532,yes,yes,cellular,18,269,1,-1,0,unknown,yes
42,blue-collar,married,primary,no,0,no,no,unknown,20,19,2,-1,0,unknown,no
31,management,single,tertiary,no,2734,yes,no,cellular,15,858,3,-1,0,unknown,yes
26,student,single,unknown,no,603,no,no,cellular,28,73,1,-1,0,unknown,no
30,self-employed,single,secondary,no,-617,no,yes,cellular,19,925,1,-1,0,unknown,yes
38,blue-collar,married,secondary,no,-367,yes,yes,cellular,12,354,1,-1,0,unknown,no
30,management,married,tertiary,no,0,yes,no,unknown,27,175,1,-1,0,unknown,no
47,unemployed,married,secondary,no,3533,yes,no,cellular,20,319,1,100,2,failure,no
37,services,divorced,secondary,no,523,no,no,unknown,20,35,7,-1,0,unknown,no
45,blue-collar,married,primary,no,816,yes,no,unknown,2,80,3,-1,0,unknown,no
36,management,single,tertiary,no,20,yes,no,cellular,20,766,2,150,3,other,no
34,services,married,secondary,no,-538,yes,no,unknown,26,682,1,-1,0,unknown,yes
64,management,married,unknown,no,2352,no,no,cellular,3,181,4,183,7,success,yes
44,services,married,secondary,no,483,yes,no,telephone,25,87,1,-1,0,unknown,no
35,technician,married,secondary,no,1055,yes,no,cellular,7,261,2,-1,0,unknown,no
59,self-employed,married,tertiary,no,0,yes,no,cellular,11,89,1,-1,0,unknown,no
32,admin.,single,secondary,no,8619,yes,no,cellular,19,267,2,-1,0,unknown,no
32,student,single,tertiary,no,61,yes,no,cellular,12,130,3,-1,0,unknown,no
53,technician,married,unknown,no,2242,no,no,cellular,10,154,14,-1,0,unknown,no
55,blue-collar,married,primary,no,2384,no,yes,telephone,21,331,20,-1,0,unknown,no
33,management,divorced,tertiary,no,348,no,no,cellular,11,71,2,-1,0,unknown,no
50,technician,married,tertiary,no,2313,no,no,cellular,5,553,1,-1,0,unknown,yes
54,management,married,tertiary,no,534,no,no,cellular,1,177,2,-1,0,unknown,yes
34,blue-collar,married,secondary,no,362,yes,no,cellular,15,151,1,-1,0,unknown,no
42,technician,single,tertiary,no,2157,yes,yes,unknown,15,260,1,-1,0,unknown,no
42,blue-collar,married,secondary,no,2152,yes,no,cellular,5,319,2,169,1,failure,no
37,technician,married,tertiary,no,4596,yes,no,cellular,6,323,1,91,6,failure,no
51,retired,married,primary,no,2525,no,no,unknown,11,184,2,-1,0,unknown,no
28,management,single,tertiary,no,278,no,yes,cellular,29,194,1,-1,0,unknown,no
27,technician,single,tertiary,no,11862,no,no,cellular,25,285,2,97,7,success,yes
37,technician,married,tertiary,no,2043,no,no,cellular,22,143,4,-1,0,unknown,no
31,technician,married,secondary,no,0,no,no,cellular,14,347,4,-1,0,unknown,no
41,housemaid,divorced,secondary,no,637,yes,yes,unknown,11,678,4,-1,0,unknown,no
53,services,married,tertiary,no,-3,no,no,cellular,8,133,2,-1,0,unknown,no
40,services,married,secondary,no,-342,yes,no,unknown,26,754,1,-1,0,unknown,no
48,management,divorced,tertiary,no,17964,yes,no,cellular,1,120,1,98,5,success,yes
60,admin.,married,unknown,no,2667,yes,no,unknown,15,140,1,-1,0,unknown,no
28,blue-collar,single,secondary,yes,0,yes,no,unknown,4,237,1,-1,0,unknown,no
47,unemployed,married,tertiary,no,1725,yes,yes,cellular,30,183,2,-1,0,unknown,no
49,management,married,tertiary,no,999,no,no,cellular,18,98,4,-1,0,unknown,no
44,technician,divorced,secondary,no,14,no,no,cellular,13,167,1,92,1,success,yes
36,management,married,secondary,no,-148,no,no,cellular,18,144,2,-1,0,unknown,no
50,management,divorced,primary,no,-6,yes,no,unknown,19,92,2,-1,0,unknown,no
49,housemaid,married,primary,no,-75,no,yes,cellular,25,125,4,-1,0,unknown,no
60,retired,married,secondary,no,938,no,no,cellular,13,380,3,-1,0,unknown,yes
36,management,married,tertiary,no,0,no,no,telephone,27,645,9,-1,0,unknown,yes
35,management,married,tertiary,no,3083,no,no,unknown,20,274,9,-1,0,unknown,no
40,admin.,married,tertiary,no,1,yes,no,telephone,22,249,3,-1,0,unknown,no
26,technician,married,secondary,no,915,no,no,cellular,2,384,1,-1,0,unknown,yes
37,admin.,married,secondary,no,11303,no,no,cellular,26,500,2,-1,0,unknown,no
35,unemployed,married,secondary,no,978,no,no,cellular,29,660,2,182,6,success,yes
39,blue-collar,married,primary,no,279,yes,no,unknown,5,361,1,-1,0,unknown,no
45,technician,single,tertiary,no,88,no,no,unknown,23,163,4,-1,0,unknown,no
62,management,married,tertiary,no,7458,no,no,cellular,30,212,2,-1,0,unknown,yes
68,retired,married,primary,no,1759,no,no,telephone,8,185,1,-1,0,unknown,no
57,management,married,tertiary,no,929,no,no,cellular,19,387,8,-1,0,unknown,no
31,services,single,secondary,no,3677,yes,no,cellular,5,325,2,-1,0,unknown,no
83,retired,married,unknown,no,4216,no,no,cellular,12,92,1,-1,0,unknown,no
33,admin.,single,secondary,no,-281,yes,yes,cellular,20,282,1,-1,0,unknown,no
57,management,married,tertiary,no,16,no,no,cellular,21,200,3,-1,0,unknown,no
40,blue-collar,married,secondary,no,395,yes,yes,unknown,23,281,1,-1,0,unknown,no
31,technician,single,secondary,no,373,no,no,cellular,22,346,5,-1,0,unknown,no
48,technician,married,secondary,no,547,no,no,cellular,5,459,2,-1,0,unknown,no
30,technician,single,secondary,no,157,yes,no,unknown,20,74,3,-1,0,unknown,no
39,blue-collar,married,secondary,no,1508,no,no,cellular,23,281,1,-1,0,unknown,no
43,self-employed,married,secondary,no,14144,yes,no,cellular,21,504,1,-1,0,unknown,yes
30,admin.,married,secondary,no,111,no,yes,cellular,21,86,3,133,1,failure,no
47,technician,divorced,secondary,no,431,no,yes,unknown,17,388,9,-1,0,unknown,no
49,blue-collar,married,primary,no,284,yes,no,unknown,19,81,1,-1,0,unknown,no
39,management,married,tertiary,no,-17,yes,yes,cellular,28,908,1,-1,0,unknown,yes
44,housemaid,married,tertiary,no,460,no,no,unknown,17,491,1,-1,0,unknown,no
38,management,single,tertiary,no,574,yes,no,cellular,28,62,1,-1,0,unknown,no
39,management,married,secondary,no,363,yes,yes,cellular,17,184,1,-1,0,unknown,no
65,retired,married,primary,no,493,no,no,cellular,2,348,1,109,2,failure,no
27,admin.,married,tertiary,no,73,no,no,cellular,10,159,1,-1,0,unknown,yes
33,blue-collar,divorced,primary,no,636,yes,no,cellular,9,211,11,-1,0,unknown,no
27,technician,married,tertiary,no,10451,yes,no,cellular,2,45,1,-1,0,unknown,no
25,student,single,secondary,no,3713,no,no,cellular,24,323,2,353,3,other,yes
35,technician,divorced,secondary,yes,362,no,no,cellular,29,329,2,240,8,other,no
56,housemaid,divorced,primary,no,864,no,no,telephone,17,46,6,-1,0,unknown,no
33,entrepreneur,single,tertiary,no,1623,yes,no,cellular,2,291,3,-1,0,unknown,yes
28,services,single,secondary,no,5090,yes,no,unknown,6,1297,3,-1,0,unknown,yes
34,blue-collar,divorced,secondary,no,-131,yes,no,cellular,7,132,1,356,1,failure,no
53,management,married,tertiary,no,2578,no,no,cellular,4,958,2,-1,0,unknown,no
27,admin.,divorced,secondary,no,0,no,yes,cellular,14,227,4,-1,0,unknown,no
32,services,married,secondary,no,1076,no,no,cellular,15,353,3,-1,0,unknown,no
33,management,married,tertiary,no,436,yes,no,unknown,7,48,1,-1,0,unknown,no
46,blue-collar,married,unknown,no,842,yes,no,telephone,8,833,1,-1,0,unknown,yes
46,blue-collar,married,secondary,no,0,yes,no,unknown,23,172,3,-1,0,unknown,no
47,housemaid,married,primary,no,0,no,no,cellular,10,1225,2,-1,0,unknown,no
51,housemaid,divorced,primary,no,127,no,no,unknown,13,69,1,-1,0,unknown,no
57,technician,married,secondary,no,589,yes,no,cellular,11,167,1,190,5,failure,yes
34,self-employed,single,tertiary,no,90,no,no,cellular,2,84,1,-1,0,unknown,no
56,management,married,tertiary,no,4,yes,yes,cellular,30,299,1,2,5,other,no
46,self-employed,married,tertiary,no,917,no,no,cellular,9,389,5,-1,0,unknown,no
27,blue-collar,married,primary,no,-443,no,yes,cellular,21,93,4,-1,0,unknown,no
44,technician,single,secondary,no,59,yes,no,cellular,18,9,4,341,19,failure,no
35,technician,single,tertiary,no,13460,yes,no,cellular,15,1068,3,-1,0,unknown,yes
46,self-employed,married,primary,no,3262,no,no,cellular,14,77,8,-1,0,unknown,no
29,admin.,single,secondary,no,163,yes,yes,unknown,16,803,1,-1,0,unknown,yes
26,entrepreneur,single,secondary,no,681,no,yes,unknown,27,137,1,-1,0,unknown,no
38,services,married,secondary,no,2669,yes,no,cellular,20,208,2,-1,0,unknown,no
33,blue-collar,single,primary,no,0,no,no,telephone,9,83,1,-1,0,unknown,no
36,admin.,married,secondary,no,75,yes,no,unknown,4,52,4,-1,0,unknown,no
55,management,married,tertiary,no,10957,no,no,unknown,11,514,4,-1,0,unknown,no
38,technician,single,secondary,no,294,no,yes,cellular,25,172,2,-1,0,unknown,no
45,housemaid,married,secondary,no,4068,no,no,cellular,30,314,1,41,1,success,no
38,services,married,secondary,no,0,yes,yes,cellular,11,184,2,-1,0,unknown,no
44,technician,married,secondary,no,1371,no,no,cellular,7,159,3,-1,0,unknown,no
59,technician,married,secondary,no,0,yes,yes,unknown,28,109,1,-1,0,unknown,no
25,services,single,secondary,no,382,yes,no,unknown,13,392,1,-1,0,unknown,no
41,entrepreneur,married,secondary,no,2959,yes,no,telephone,25,110,1,-1,0,unknown,no
27,technician,single,secondary,no,1187,no,no,cellular,28,120,2,-1,0,unknown,no
55,management,divorced,tertiary,no,2383,no,no,cellular,5,1019,2,63,2,success,yes
42,technician,married,secondary,no,534,no,no,cellular,5,314,1,-1,0,unknown,no
36,management,single,tertiary,no,6450,yes,no,unknown,29,101,1,-1,0,unknown,no
52,technician,married,secondary,no,291,no,no,unknown,8,143,1,-1,0,unknown,no
45,management,married,tertiary,no,4119,yes,yes,telephone,31,473,2,283,1,success,yes
55,retired,married,secondary,no,708,yes,no,unknown,13,901,2,-1,0,unknown,no
57,management,married,tertiary,no,2266,no,no,cellular,5,306,1,-1,0,unknown,no
48,blue-collar,divorced,secondary,no,1893,no,no,telephone,29,538,3,-1,0,unknown,no
58,unemployed,married,secondary,no,687,yes,no,cellular,30,341,2,-1,0,unknown,yes
25,blue-collar,single,secondary,no,303,no,no,cellular,18,252,1,92,1,success,yes
34,blue-collar,married,primary,no,425,yes,no,cellular,16,1389,7,-1,0,unknown,no
49,management,married,tertiary,no,502,no,no,cellular,22,379,4,-1,0,unknown,no
58,management,single,tertiary,no,342,no,yes,cellular,11,564,2,-1,0,unknown,no
34,blue-collar,married,primary,no,218,yes,yes,unknown,21,260,1,-1,0,unknown,no
40,admin.,single,secondary,no,1322,yes,no,unknown,8,26,1,-1,0,unknown,no
34,services,single,secondary,no,258,yes,no,unknown,4,131,2,-1,0,unknown,no
48,technician,married,secondary,no,1548,no,no,cellular,28,143,5,-1,0,unknown,no
22,blue-collar,single,primary,no,-168,yes,no,unknown,13,160,3,-1,0,unknown,no
50,technician,married,secondary,no,1765,yes,no,unknown,12,247,2,-1,0,unknown,no
47,admin.,married,secondary,no,73,no,no,cellular,8,57,3,-1,0,unknown,no
35,technician,married,tertiary,no,944,no,no,cellular,8,351,2,-1,0,unknown,no
48,management,divorced,tertiary,no,17964,yes,no,cellular,26,208,2,96,3,other,yes
52,blue-collar,married,primary,no,134,yes,no,cellular,15,81,2,295,3,failure,no
47,blue-collar,married,primary,no,269,yes,no,cellular,30,145,5,-1,0,unknown,no
38,unemployed,single,tertiary,no,560,no,no,cellular,29,316,1,-1,0,unknown,no
50,technician,single,secondary,no,3897,no,no,cellular,26,298,1,-1,0,unknown,no
34,management,married,tertiary,no,573,no,no,cellular,10,122,1,-1,0,unknown,no
27,student,single,unknown,no,132,no,no,cellular,14,276,1,-1,0,unknown,yes
33,technician,married,secondary,no,-74,yes,no,cellular,25,198,4,-1,0,unknown,no
34,technician,single,tertiary,no,632,no,no,cellular,22,215,10,-1,0,unknown,no
47,unemployed,married,secondary,no,955,yes,no,unknown,13,47,1,-1,0,unknown,no
50,blue-collar,divorced,primary,no,1629,yes,no,cellular,14,67,1,-1,0,unknown,no
29,management,single,tertiary,no,91,yes,no,telephone,28,426,4,-1,0,unknown,no
32,management,single,secondary,no,-515,yes,yes,cellular,3,19,6,-1,0,unknown,no
41,self-employed,married,secondary,no,305,yes,no,cellular,13,174,2,-1,0,unknown,no
33,self-employed,married,tertiary,no,-103,yes,no,cellular,19,149,2,175,1,failure,no
31,services,single,secondary,no,222,yes,no,cellular,13,168,2,-1,0,unknown,no
34,self-employed,single,tertiary,no,72,yes,no,unknown,2,69,1,-1,0,unknown,no
50,management,married,tertiary,no,5108,yes,no,cellular,19,140,2,-1,0,unknown,no
26,management,married,tertiary,no,877,yes,no,cellular,22,611,1,-1,0,unknown,no
34,admin.,single,secondary,no,-32,no,yes,cellular,30,246,2,-1,0,unknown,yes
27,blue-collar,married,secondary,no,1295,yes,no,cellular,14,1106,1,-1,0,unknown,no
26,blue-collar,married,secondary,no,490,yes,no,unknown,23,82,5,-1,0,unknown,no
50,management,divorced,tertiary,no,0,no,no,cellular,18,154,1,-1,0,unknown,no
42,technician,single,secondary,no,-15,no,no,cellular,17,89,1,145,1,failure,no
40,management,married,tertiary,no,342,yes,no,cellular,13,133,4,-1,0,unknown,no
34,blue-collar,married,secondary,no,320,yes,no,cellular,12,352,1,828,2,failure,yes
32,services,married,secondary,no,-479,yes,no,unknown,27,142,1,-1,0,unknown,no
30,management,married,tertiary,no,0,yes,no,cellular,9,127,1,-1,0,unknown,no
39,blue-collar,married,secondary,no,474,yes,yes,unknown,26,219,4,-1,0,unknown,no
57,admin.,single,secondary,no,5768,yes,no,unknown,19,512,1,-1,0,unknown,yes
56,management,married,tertiary,no,171,no,yes,telephone,17,610,2,-1,0,unknown,no
51,management,single,tertiary,no,2523,yes,no,cellular,16,150,1,-1,0,unknown,no
32,technician,single,secondary,no,26,no,yes,cellular,25,110,1,-1,0,unknown,no
45,technician,divorced,secondary,no,0,no,no,cellular,26,64,2,-1,0,unknown,no
40,unemployed,married,secondary,no,1289,no,no,cellular,26,260,2,-1,0,unknown,no
45,blue-collar,divorced,secondary,no,756,yes,no,unknown,6,179,2,-1,0,unknown,no
34,technician,married,secondary,no,133,no,no,cellular,15,401,2,187,5,success,yes
39,blue-collar,single,primary,no,0,yes,yes,cellular,13,1975,5,-1,0,unknown,yes
24,student,single,secondary,no,228,no,no,cellular,20,99,1,79,1,failure,no
39,technician,married,unknown,no,195,no,no,cellular,6,74,2,-1,0,unknown,no
52,management,single,tertiary,no,556,no,no,cellular,13,733,6,-1,0,unknown,no
